budget_range,investorId,risk_preference,profileCompleted,category,preferred_stage,location,traction_preference,investor_id
500k-2M,I323,Medium,True,LogisticsTech,"Growth,Scaling",UAE,Users,I323
2M-10M,I324,Low,True,FinTech,Idea,UK,Revenue,I324
2M-10M,I325,Medium,True,LogisticsTech,"MVP,Early Traction,Growth",India,Users,I325
10k-100k,I326,High,True,LogisticsTech,"Early Traction,Growth",Saudi Arabia,None,I326
50k-200k,I327,Low,True,LogisticsTech,"Early Traction,Growth",Nigeria,Revenue,I327
2M-10M,I328,High,True,PropTech,Idea,UAE,None,I328
10k-100k,I329,Medium,True,EdTech,"Growth,Scaling",Saudi Arabia,Users,I329
100k-500k,I33,High,True,HealthTech,Idea,India,None,I33
100k-500k,I330,Low,True,SaaS,"Idea,MVP",USA,Revenue,I330
2M-10M,I331,Medium,True,FinTech,Idea,USA,Users,I331
10k-100k,I332,High,True,AgriTech,"MVP,Early Traction,Growth",Pakistan,None,I332
2M-10M,I333,High,True,SaaS,"Idea,MVP,Early Traction",UK,None,I333
2M-10M,I334,Low,True,PropTech,"Growth,Scaling",Turkey,Revenue,I334
100k-500k,I335,High,True,CleanTech,"MVP,Early Traction",Turkey,None,I335
100k-500k,I336,Low,True,LogisticsTech,Scaling,Bangladesh,Revenue,I336
100k-500k,I337,Medium,True,CleanTech,Idea,USA,Users,I337
10k-100k,I338,Low,True,PropTech,Idea,Egypt,Revenue,I338
50k-200k,I339,High,True,E-commerce,"Idea,MVP,Early Traction",India,None,I339
100k-500k,I34,Medium,True,AI,Early Traction,Saudi Arabia,Users,I34
50k-200k,I340,Low,True,FinTech,"MVP,Early Traction,Growth",UAE,Revenue,I340
10k-100k,I341,Medium,True,PropTech,"MVP,Early Traction,Growth",Saudi Arabia,Users,I341
500k-2M,I342,Medium,True,SaaS,"Growth,Scaling",Nigeria,Users,I342
50k-200k,I343,Low,True,PropTech,"Growth,Scaling",Bangladesh,Revenue,I343
50k-200k,I344,High,True,AI,"Early Traction,Growth",Turkey,None,I344
2M-10M,I345,High,True,E-commerce,"Early Traction,Growth",Pakistan,None,I345
50k-200k,I346,Low,True,AI,Scaling,UK,Revenue,I346
2M-10M,I347,High,True,CleanTech,"Idea,MVP",Turkey,None,I347
10k-100k,I348,Medium,True,HealthTech,Early Traction,Saudi Arabia,Users,I348
500k-2M,I349,Low,True,AgriTech,"Growth,Scaling",UAE,Revenue,I349
2M-10M,I35,Medium,True,HealthTech,"MVP,Early Traction,Growth",Saudi Arabia,Users,I35
50k-200k,I350,Low,True,PropTech,Early Traction,Turkey,Revenue,I350
100k-500k,I351,High,True,LogisticsTech,"MVP,Early Traction,Growth",UAE,None,I351
2M-10M,I352,Low,True,AgriTech,"Growth,Scaling",Turkey,Revenue,I352
500k-2M,I353,Low,True,CleanTech,"Idea,MVP",UAE,Revenue,I353
2M-10M,I354,High,True,FinTech,"Growth,Scaling",Egypt,None,I354
2M-10M,I355,Low,True,E-commerce,Idea,India,Revenue,I355
2M-10M,I356,High,True,PropTech,Scaling,Pakistan,None,I356
10k-100k,I357,High,True,SaaS,"Early Traction,Growth",Nigeria,None,I357
2M-10M,I358,High,True,PropTech,"Growth,Scaling",Pakistan,None,I358
500k-2M,I359,Low,True,LogisticsTech,Scaling,USA,Revenue,I359
500k-2M,I36,High,True,PropTech,Scaling,Saudi Arabia,None,I36
50k-200k,I360,Medium,True,CleanTech,"MVP,Early Traction,Growth",Nigeria,Users,I360
2M-10M,I361,Medium,True,PropTech,"Early Traction,Growth",India,Users,I361
500k-2M,I362,Low,True,HealthTech,"Idea,MVP,Early Traction",Saudi Arabia,Revenue,I362
2M-10M,I363,Medium,True,PropTech,"Growth,Scaling",Bangladesh,Users,I363
10k-100k,I364,High,True,AI,"MVP,Early Traction",Turkey,None,I364
10k-100k,I365,High,True,LogisticsTech,"Growth,Scaling",Bangladesh,None,I365
500k-2M,I366,Low,True,EdTech,"Early Traction,Growth",USA,Revenue,I366
2M-10M,I367,Medium,True,CleanTech,Scaling,UK,Users,I367
2M-10M,I368,High,True,CleanTech,"Idea,MVP,Early Traction",USA,None,I368
50k-200k,I369,High,True,CleanTech,Scaling,Bangladesh,None,I369
50k-200k,I37,Medium,True,FinTech,"Idea,MVP",Pakistan,Users,I37
50k-200k,I370,High,True,AgriTech,Scaling,USA,None,I370
100k-500k,I371,High,True,AgriTech,"MVP,Early Traction,Growth",UK,None,I371
50k-200k,I372,High,True,CleanTech,"Growth,Scaling",India,None,I372
50k-200k,I373,Low,True,AgriTech,Scaling,India,Revenue,I373
100k-500k,I374,High,True,CleanTech,"Idea,MVP",Egypt,None,I374
500k-2M,I375,Low,True,E-commerce,"Early Traction,Growth",Pakistan,Revenue,I375
2M-10M,I376,Low,True,AgriTech,"MVP,Early Traction",Bangladesh,Revenue,I376
50k-200k,I377,Low,True,HealthTech,Early Traction,USA,Revenue,I377
500k-2M,I378,High,True,AI,Scaling,Bangladesh,None,I378
2M-10M,I379,Low,True,HealthTech,Idea,Pakistan,Revenue,I379
2M-10M,I38,High,True,FinTech,"Idea,MVP",USA,None,I38
10k-100k,I380,High,True,AgriTech,Scaling,Saudi Arabia,None,I380
50k-200k,I381,High,True,HealthTech,Scaling,Pakistan,None,I381
50k-200k,I382,Low,True,LogisticsTech,"Idea,MVP",Turkey,Revenue,I382
50k-200k,I383,Low,True,EdTech,"MVP,Early Traction",Pakistan,Revenue,I383
500k-2M,I384,High,True,HealthTech,"Growth,Scaling",USA,None,I384
2M-10M,I385,High,True,CleanTech,"Idea,MVP",Saudi Arabia,None,I385
10k-100k,I386,Medium,True,SaaS,Scaling,Egypt,Users,I386
100k-500k,I387,Medium,True,PropTech,"Growth,Scaling",USA,Users,I387
50k-200k,I388,Medium,True,PropTech,Early Traction,Nigeria,Users,I388
100k-500k,I389,Medium,True,AI,Scaling,UAE,Users,I389
10k-100k,I39,High,True,EdTech,"Idea,MVP,Early Traction",Bangladesh,None,I39
2M-10M,I390,High,True,SaaS,"Idea,MVP,Early Traction",India,None,I390
10k-100k,I391,Medium,True,EdTech,Scaling,Egypt,Users,I391
100k-500k,I392,Medium,True,PropTech,Early Traction,Nigeria,Users,I392
50k-200k,I393,Medium,True,AgriTech,Idea,USA,Users,I393
10k-100k,I394,Low,True,PropTech,"Idea,MVP,Early Traction",Nigeria,Revenue,I394
500k-2M,I395,High,True,SaaS,"Growth,Scaling",Saudi Arabia,None,I395
500k-2M,I396,High,True,EdTech,Scaling,USA,None,I396
100k-500k,I397,Medium,True,AI,"MVP,Early Traction",Saudi Arabia,Users,I397
100k-500k,I398,High,True,CleanTech,"Early Traction,Growth",India,None,I398
100k-500k,I399,Low,True,AgriTech,Early Traction,USA,Revenue,I399
100k-500k,I4,Low,True,CleanTech,Idea,Pakistan,Revenue,I4
50k-200k,I40,Low,True,SaaS,"Growth,Scaling",Egypt,Revenue,I40
50k-200k,I400,Medium,True,HealthTech,"Growth,Scaling",Saudi Arabia,Users,I400
50k-200k,I401,Low,True,FinTech,"Growth,Scaling",UK,Revenue,I401
50k-200k,I402,Medium,True,FinTech,"Early Traction,Growth",Turkey,Users,I402
10k-100k,I403,High,True,SaaS,Idea,India,None,I403
10k-100k,I404,Low,True,PropTech,Idea,Egypt,Revenue,I404
2M-10M,I405,Medium,True,EdTech,Early Traction,USA,Users,I405
500k-2M,I406,High,True,HealthTech,"Idea,MVP,Early Traction",UAE,None,I406
50k-200k,I407,Low,True,CleanTech,"Idea,MVP",Turkey,Revenue,I407
500k-2M,I408,High,True,LogisticsTech,"Idea,MVP",Nigeria,None,I408
100k-500k,I409,High,True,LogisticsTech,"Early Traction,Growth",Bangladesh,None,I409
10k-100k,I41,High,True,AgriTech,"Idea,MVP,Early Traction",UAE,None,I41
10k-100k,I410,Medium,True,AgriTech,"MVP,Early Traction,Growth",Egypt,Users,I410
10k-100k,I411,Medium,True,AI,Early Traction,Saudi Arabia,Users,I411
100k-500k,I412,High,True,SaaS,"Idea,MVP,Early Traction",USA,None,I412
2M-10M,I413,Low,True,E-commerce,"Idea,MVP,Early Traction",UK,Revenue,I413
2M-10M,I414,Medium,True,AgriTech,"Early Traction,Growth",USA,Users,I414
500k-2M,I415,Medium,True,AgriTech,"MVP,Early Traction,Growth",Saudi Arabia,Users,I415
500k-2M,I416,Medium,True,EdTech,"Early Traction,Growth",UK,Users,I416
50k-200k,I417,High,True,PropTech,"Growth,Scaling",Turkey,None,I417
100k-500k,I418,High,True,SaaS,"Growth,Scaling",Saudi Arabia,None,I418
50k-200k,I419,High,True,CleanTech,"Early Traction,Growth",UAE,None,I419
10k-100k,I42,High,True,SaaS,"Growth,Scaling",Saudi Arabia,None,I42
10k-100k,I420,Medium,True,AgriTech,Idea,UAE,Users,I420
2M-10M,I421,High,True,E-commerce,"MVP,Early Traction,Growth",Egypt,None,I421
100k-500k,I422,High,True,AgriTech,Early Traction,UK,None,I422
500k-2M,I423,High,True,AI,"Early Traction,Growth",India,None,I423
50k-200k,I424,Medium,True,AI,"MVP,Early Traction",UK,Users,I424
100k-500k,I425,Medium,True,AgriTech,"MVP,Early Traction,Growth",UK,Users,I425
2M-10M,I426,Medium,True,LogisticsTech,"Idea,MVP",UK,Users,I426
10k-100k,I427,High,True,CleanTech,Early Traction,USA,None,I427
2M-10M,I428,High,True,FinTech,Scaling,Turkey,None,I428
100k-500k,I429,Medium,True,E-commerce,Scaling,USA,Users,I429
500k-2M,I43,High,True,EdTech,"MVP,Early Traction",India,None,I43
500k-2M,I430,Medium,True,AgriTech,Early Traction,India,Users,I430
500k-2M,I431,Low,True,HealthTech,"MVP,Early Traction,Growth",UAE,Revenue,I431
2M-10M,I432,Medium,True,CleanTech,"MVP,Early Traction",Turkey,Users,I432
50k-200k,I433,Low,True,SaaS,"MVP,Early Traction,Growth",USA,Revenue,I433
100k-500k,I434,High,True,EdTech,"Growth,Scaling",UK,None,I434
500k-2M,I435,High,True,HealthTech,Early Traction,USA,None,I435
500k-2M,I436,Low,True,LogisticsTech,"Early Traction,Growth",Bangladesh,Revenue,I436
50k-200k,I437,High,True,AI,"Idea,MVP,Early Traction",Saudi Arabia,None,I437
50k-200k,I438,Medium,True,SaaS,"MVP,Early Traction",UAE,Users,I438
10k-100k,I439,High,True,SaaS,"Idea,MVP",Nigeria,None,I439
50k-200k,I44,Low,True,LogisticsTech,Early Traction,Bangladesh,Revenue,I44
500k-2M,I440,Low,True,AI,"MVP,Early Traction",Egypt,Revenue,I440
2M-10M,I441,Low,True,HealthTech,"Growth,Scaling",UAE,Revenue,I441
50k-200k,I442,High,True,HealthTech,"Idea,MVP,Early Traction",Saudi Arabia,None,I442
50k-200k,I443,High,True,AgriTech,"Early Traction,Growth",UAE,None,I443
10k-100k,I444,Medium,True,AI,Idea,USA,Users,I444
2M-10M,I445,High,True,AgriTech,Idea,UK,None,I445
2M-10M,I446,High,True,E-commerce,Early Traction,UAE,None,I446
2M-10M,I447,High,True,AgriTech,Scaling,Bangladesh,None,I447
100k-500k,I448,High,True,HealthTech,"Growth,Scaling",Nigeria,None,I448
500k-2M,I449,Medium,True,SaaS,"Growth,Scaling",UK,Users,I449
10k-100k,I45,High,True,PropTech,"Early Traction,Growth",Bangladesh,None,I45
50k-200k,I450,Low,True,HealthTech,"Idea,MVP",UK,Revenue,I450
50k-200k,I451,Medium,True,LogisticsTech,Idea,USA,Users,I451
10k-100k,I452,Medium,True,LogisticsTech,"Idea,MVP,Early Traction",Nigeria,Users,I452
500k-2M,I453,High,True,AI,"Growth,Scaling",UK,None,I453
2M-10M,I454,Low,True,AI,"Growth,Scaling",USA,Revenue,I454
500k-2M,I455,Low,True,LogisticsTech,"Early Traction,Growth",Bangladesh,Revenue,I455
500k-2M,I456,Medium,True,CleanTech,"MVP,Early Traction",Saudi Arabia,Users,I456
50k-200k,I457,High,True,CleanTech,"Idea,MVP,Early Traction",Egypt,None,I457
2M-10M,I458,Medium,True,HealthTech,"Growth,Scaling",UK,Users,I458
50k-200k,I459,Medium,True,SaaS,"MVP,Early Traction",UAE,Users,I459
100k-500k,I46,Medium,True,FinTech,"Growth,Scaling",UK,Users,I46
2M-10M,I460,Medium,True,AgriTech,Early Traction,Nigeria,Users,I460
50k-200k,I461,Low,True,AgriTech,"Early Traction,Growth",USA,Revenue,I461
2M-10M,I462,Low,True,AI,"MVP,Early Traction",Pakistan,Revenue,I462
100k-500k,I463,High,True,HealthTech,Idea,UAE,None,I463
50k-200k,I464,Low,True,AI,"Idea,MVP",India,Revenue,I464
50k-200k,I465,Medium,True,AgriTech,"Idea,MVP,Early Traction",USA,Users,I465
100k-500k,I466,High,True,AgriTech,"Idea,MVP",Nigeria,None,I466
10k-100k,I467,Low,True,EdTech,"Idea,MVP,Early Traction",UAE,Revenue,I467
10k-100k,I468,Medium,True,CleanTech,"Early Traction,Growth",Egypt,Users,I468
100k-500k,I469,Low,True,FinTech,"MVP,Early Traction",Bangladesh,Revenue,I469
100k-500k,I47,Medium,True,EdTech,"Growth,Scaling",Nigeria,Users,I47
500k-2M,I470,Low,True,FinTech,"Idea,MVP",Nigeria,Revenue,I470
500k-2M,I471,High,True,FinTech,"Growth,Scaling",India,None,I471
500k-2M,I472,Medium,True,AgriTech,"Early Traction,Growth",UK,Users,I472
2M-10M,I473,Low,True,AI,"Idea,MVP,Early Traction",Egypt,Revenue,I473
100k-500k,I474,Medium,True,AgriTech,"Idea,MVP",Saudi Arabia,Users,I474
10k-100k,I475,High,True,FinTech,"Growth,Scaling",Saudi Arabia,None,I475
10k-100k,I476,Medium,True,EdTech,Early Traction,UAE,Users,I476
500k-2M,I477,Low,True,SaaS,"Idea,MVP",Saudi Arabia,Revenue,I477
500k-2M,I478,Low,True,PropTech,"MVP,Early Traction,Growth",Turkey,Revenue,I478
50k-200k,I479,Medium,True,SaaS,"MVP,Early Traction",UAE,Users,I479
50k-200k,I48,High,True,SaaS,"MVP,Early Traction",UAE,None,I48
100k-500k,I480,Low,True,PropTech,"MVP,Early Traction,Growth",Pakistan,Revenue,I480
2M-10M,I481,Low,True,E-commerce,Idea,India,Revenue,I481
100k-500k,I482,High,True,FinTech,"MVP,Early Traction,Growth",Egypt,None,I482
50k-200k,I483,High,True,AgriTech,"Growth,Scaling",Pakistan,None,I483
50k-200k,I484,Low,True,EdTech,Idea,UK,Revenue,I484
2M-10M,I485,High,True,AgriTech,Idea,UK,None,I485
2M-10M,I486,High,True,FinTech,"MVP,Early Traction,Growth",UAE,None,I486
500k-2M,I487,High,True,EdTech,Scaling,UK,None,I487
10k-100k,I488,Low,True,E-commerce,Idea,Egypt,Revenue,I488
100k-500k,I489,Medium,True,HealthTech,Idea,Egypt,Users,I489
10k-100k,I49,Medium,True,E-commerce,Idea,UAE,Users,I49
2M-10M,I490,High,True,AI,"Early Traction,Growth",Bangladesh,None,I490
2M-10M,I491,High,True,AI,"Growth,Scaling",USA,None,I491
10k-100k,I492,Medium,True,EdTech,"Growth,Scaling",Egypt,Users,I492
500k-2M,I493,Low,True,LogisticsTech,Early Traction,Egypt,Revenue,I493
100k-500k,I494,High,True,HealthTech,"MVP,Early Traction,Growth",Bangladesh,None,I494
10k-100k,I495,High,True,SaaS,"MVP,Early Traction",Egypt,None,I495
50k-200k,I496,Low,True,AI,"Growth,Scaling",UAE,Revenue,I496
500k-2M,I497,Low,True,SaaS,"Idea,MVP",Saudi Arabia,Revenue,I497
500k-2M,I498,High,True,PropTech,Early Traction,Nigeria,None,I498
100k-500k,I499,Medium,True,PropTech,"Growth,Scaling",Pakistan,Users,I499
10k-100k,I5,Medium,True,CleanTech,Early Traction,Saudi Arabia,Users,I5
500k-2M,I50,High,True,EdTech,"MVP,Early Traction,Growth",India,None,I50
10k-100k,I500,Low,True,PropTech,Idea,Pakistan,Revenue,I500
500k-2M,I51,Medium,True,FinTech,"Idea,MVP,Early Traction",UK,Users,I51
10k-100k,I52,High,True,SaaS,"Idea,MVP,Early Traction",UAE,None,I52
10k-100k,I53,Medium,True,PropTech,"Early Traction,Growth",Saudi Arabia,Users,I53
50k-200k,I54,Medium,True,SaaS,Scaling,USA,Users,I54
100k-500k,I55,Low,True,AI,"Idea,MVP",UK,Revenue,I55
500k-2M,I56,High,True,CleanTech,Scaling,Egypt,None,I56
10k-100k,I57,Low,True,FinTech,"Early Traction,Growth",Nigeria,Revenue,I57
10k-100k,I58,Low,True,SaaS,"Early Traction,Growth",Pakistan,Revenue,I58
500k-2M,I59,High,True,FinTech,"MVP,Early Traction",USA,None,I59
2M-10M,I6,Medium,True,SaaS,"MVP,Early Traction,Growth",Pakistan,Users,I6
2M-10M,I60,Low,True,PropTech,"Idea,MVP",UK,Revenue,I60
50k-200k,I61,Low,True,SaaS,"MVP,Early Traction",Nigeria,Revenue,I61
10k-100k,I62,Medium,True,EdTech,"Idea,MVP",Pakistan,Users,I62
2M-10M,I63,High,True,E-commerce,"Growth,Scaling",Bangladesh,None,I63
10k-100k,I64,High,True,AgriTech,"Growth,Scaling",Bangladesh,None,I64
100k-500k,I65,Low,True,E-commerce,"Idea,MVP,Early Traction",Saudi Arabia,Revenue,I65
500k-2M,I66,Low,True,HealthTech,Early Traction,UAE,Revenue,I66
2M-10M,I67,High,True,PropTech,"Idea,MVP,Early Traction",Saudi Arabia,None,I67
500k-2M,I68,Medium,True,AgriTech,"Idea,MVP",Egypt,Users,I68
100k-500k,I69,Low,True,SaaS,"Growth,Scaling",Bangladesh,Revenue,I69
500k-2M,I7,Medium,True,E-commerce,"MVP,Early Traction,Growth",Turkey,Users,I7
2M-10M,I70,High,True,FinTech,Scaling,Saudi Arabia,None,I70
500k-2M,I71,Medium,True,AI,Scaling,USA,Users,I71
100k-500k,I72,High,True,AgriTech,"MVP,Early Traction,Growth",Turkey,None,I72
100k-500k,I73,Low,True,CleanTech,"MVP,Early Traction,Growth",UAE,Revenue,I73
50k-200k,I74,Medium,True,PropTech,"Idea,MVP",Pakistan,Users,I74
2M-10M,I75,High,True,AgriTech,"Growth,Scaling",USA,None,I75
10k-100k,I76,High,True,E-commerce,"Growth,Scaling",Saudi Arabia,None,I76
2M-10M,I77,Low,True,HealthTech,Early Traction,Pakistan,Revenue,I77
100k-500k,I78,Low,True,CleanTech,"Growth,Scaling",UAE,Revenue,I78
100k-500k,I79,High,True,PropTech,"Idea,MVP",USA,None,I79
50k-200k,I8,Low,True,LogisticsTech,"Idea,MVP",Nigeria,Revenue,I8
2M-10M,I80,Low,True,EdTech,Early Traction,Turkey,Revenue,I80
500k-2M,I81,Medium,True,FinTech,"Early Traction,Growth",Egypt,Users,I81
10k-100k,I82,Low,True,AgriTech,"Growth,Scaling",India,Revenue,I82
50k-200k,I83,High,True,PropTech,Idea,Pakistan,None,I83
100k-500k,I84,Low,True,AI,"Early Traction,Growth",Turkey,Revenue,I84
50k-200k,I85,Low,True,EdTech,"Idea,MVP",USA,Revenue,I85
2M-10M,I86,Low,True,E-commerce,Scaling,UAE,Revenue,I86
10k-100k,I87,High,True,EdTech,"Growth,Scaling",USA,None,I87
10k-100k,I88,Medium,True,PropTech,"MVP,Early Traction,Growth",USA,Users,I88
50k-200k,I89,High,True,E-commerce,Idea,Bangladesh,None,I89
10k-100k,I9,Medium,True,PropTech,"Growth,Scaling",Pakistan,Users,I9
50k-200k,I90,High,True,EdTech,Early Traction,Egypt,None,I90
50k-200k,I91,Low,True,EdTech,"Growth,Scaling",Turkey,Revenue,I91
100k-500k,I92,Low,True,HealthTech,"Idea,MVP",UAE,Revenue,I92
500k-2M,I93,Low,True,PropTech,"Early Traction,Growth",Turkey,Revenue,I93
100k-500k,I94,Low,True,PropTech,Early Traction,Turkey,Revenue,I94
500k-2M,I95,Medium,True,SaaS,"MVP,Early Traction",UAE,Users,I95
100k-500k,I96,Low,True,FinTech,"MVP,Early Traction",USA,Revenue,I96
500k-2M,I97,Medium,True,EdTech,"Growth,Scaling",Pakistan,Users,I97
10k-100k,I98,Medium,True,FinTech,"MVP,Early Traction",USA,Users,I98
10k-100k,I99,Medium,True,AI,"Growth,Scaling",Bangladesh,Users,I99
10k-100k,I501,High,True,CleanTech,Idea,Pakistan,Users,OO4x9xPWPCcl2NARFazzRkQ0Qtw1
10k-100k,I502,Low,True,SaaS,MVP,Pakistan,None,e0YvsYtru2M9nyTB8dvmAdpdx4d2
100k-500k,I503,High,True,EdTech,Growth,Saudi Arabia,Users,hooJScx0APP7r9pZ8HNkcst0WLv1
10k-100k,I504,Medium,True,AI,Growth,Bangladesh,Revenue,s1q28bDhvuW5O9UCrvlsfMHiKOj2
